total_population,male_population,female_population,median_age,white_alone,black_alone,asian_alone,hispanic_or_latino,total_housing_units,occupied_housing_units,vacant_housing_units,median_home_value,median_gross_rent,median_household_income,per_capita_income,poverty_count,in_labor_force,civilian_labor_force,employed,unemployed,bachelors_degree,masters_degree,doctorate_degree,total_commuters,public_transit_commuters,mean_travel_time_to_work,location_name,state,county,tract,year,dataset,fetched_date
1989,892,1097,,1397,249,12,574,874,832,42,278700,2189,112500,51991,242,1246,1246,1141,105,201,337,0,1141,120,862,Census Tract 24.01; Westchester County; New York,36,119,002401,2022,acs/acs5,2025-10-13T11:21:08.326404
3822,1911,1911,,2028,688,125,1355,2414,2266,148,209200,1703,88959,63312,151,2554,2554,2408,146,630,1133,26,2359,622,2164,Census Tract 24.02; Westchester County; New York,36,119,002402,2022,acs/acs5,2025-10-13T11:21:08.326413
4996,2547,2449,,2791,715,354,1618,2172,2055,117,279500,1873,71302,39301,813,3026,3026,2578,448,578,591,131,2444,887,2444,Census Tract 24.03; Westchester County; New York,36,119,002403,2022,acs/acs5,2025-10-13T11:21:08.326423
4341,2034,2307,,2876,157,264,1267,1243,1186,57,563100,1781,143018,40931,215,2342,2342,2175,167,826,167,29,2006,309,1729,Census Tract 24.04; Westchester County; New York,36,119,002404,2022,acs/acs5,2025-10-13T11:21:08.326433
3367,1703,1664,,2127,224,192,971,1096,1096,0,610400,2030,108935,42269,473,1592,1592,1514,78,434,165,27,1347,154,1347,Census Tract 24.05; Westchester County; New York,36,119,002405,2022,acs/acs5,2025-10-13T11:21:08.326442
4845,2360,2485,,196,3644,96,738,1455,1349,106,553700,1614,90078,33558,436,2382,2382,2177,205,257,507,0,2124,649,2103,Census Tract 26; Westchester County; New York,36,119,002600,2022,acs/acs5,2025-10-13T11:21:08.326452
5074,2175,2899,,77,4257,0,606,1296,1267,29,509200,1834,71750,26500,610,2914,2914,2759,155,321,213,9,2658,776,2658,Census Tract 27; Westchester County; New York,36,119,002700,2022,acs/acs5,2025-10-13T11:21:08.326461
2531,1160,1371,,220,1951,76,598,981,961,20,481000,1151,61402,28504,522,1227,1227,1150,77,287,68,9,1088,216,1088,Census Tract 28; Westchester County; New York,36,119,002800,2022,acs/acs5,2025-10-13T11:21:08.326471
4131,1562,2569,,74,3275,22,1022,2330,2249,81,295000,938,,18051,1709,1528,1528,1373,155,283,34,38,1318,636,1318,Census Tract 29; Westchester County; New York,36,119,002900,2022,acs/acs5,2025-10-13T11:21:08.326481
2911,1520,1391,,60,2520,33,352,902,893,9,470500,1594,89450,34171,166,1812,1812,1616,196,210,140,13,1568,771,1555,Census Tract 30; Westchester County; New York,36,119,003000,2022,acs/acs5,2025-10-13T11:21:08.326490
3048,1126,1922,,86,2881,0,217,1414,1357,57,433000,1281,32215,20564,983,1316,1316,978,338,249,213,0,978,651,962,Census Tract 31; Westchester County; New York,36,119,003100,2022,acs/acs5,2025-10-13T11:21:08.326500
3098,1346,1752,,48,2688,0,214,1020,900,120,352100,1592,75128,29624,816,1464,1464,1407,57,192,193,0,1374,528,1303,Census Tract 32; Westchester County; New York,36,119,003200,2022,acs/acs5,2025-10-13T11:21:08.326510
3249,1289,1960,,18,2725,0,211,1339,1285,54,458400,1623,87108,47374,94,1610,1610,1562,48,799,282,0,1465,380,1332,Census Tract 33; Westchester County; New York,36,119,003300,2022,acs/acs5,2025-10-13T11:21:08.326520
4781,2365,2416,,1013,3137,43,893,1738,1654,84,396600,1925,79449,39884,322,3058,3058,2867,191,1010,408,11,2711,538,2639,Census Tract 34; Westchester County; New York,36,119,003400,2022,acs/acs5,2025-10-13T11:21:08.326530
