total_population,male_population,female_population,median_age,white_alone,black_alone,asian_alone,hispanic_or_latino,total_housing_units,occupied_housing_units,vacant_housing_units,median_home_value,median_gross_rent,median_household_income,per_capita_income,poverty_count,in_labor_force,civilian_labor_force,employed,unemployed,bachelors_degree,masters_degree,doctorate_degree,total_commuters,public_transit_commuters,mean_travel_time_to_work,location_name,state,place,year,dataset,fetched_date
5192,2477,2715,,1769,1076,547,2509,1842,1667,175,515400,2389,120301,45046,452,2799,2799,2652,147,918,274,80,2583,341,2524,"Elmsford village, New York",36,24295,2022,acs/acs5,2025-10-13T11:21:10.428119
11124,5485,5639,,8557,659,603,971,3731,3663,68,638800,1454,161406,64726,395,6263,6263,6114,149,2085,1345,102,5857,628,4970,"Elwood CDP, New York",36,24405,2022,acs/acs5,2025-10-13T11:21:10.428134
13540,6521,7019,,10680,1311,271,854,7138,6298,840,102000,801,43509,25067,3880,6231,6231,5766,465,940,615,84,5628,260,5277,"Endicott village, New York",36,24515,2022,acs/acs5,2025-10-13T11:21:10.428148
11826,5896,5930,,10805,120,421,652,5618,5093,525,158200,862,67556,39451,1400,6043,6043,5846,197,1777,1367,157,5749,52,5340,"Endwell CDP, New York",36,24526,2022,acs/acs5,2025-10-13T11:21:10.428158
538,282,256,,528,6,0,0,210,200,10,42100,691,39615,22599,70,239,239,206,33,11,8,0,206,0,189,"Erin CDP, New York",36,24625,2022,acs/acs5,2025-10-13T11:21:10.428168
277,158,119,,241,15,1,9,159,127,32,160600,975,65625,32239,27,140,140,136,4,15,5,0,136,0,122,"Esperance village, New York",36,24713,2022,acs/acs5,2025-10-13T11:21:10.428178
503,283,220,,408,20,5,30,252,218,34,177100,,52813,27432,96,197,157,146,11,43,12,0,179,4,174,"Evans Mills village, New York",36,24823,2022,acs/acs5,2025-10-13T11:21:10.428187
357,148,209,,346,0,0,0,177,162,15,126300,853,68750,43914,7,204,204,187,17,40,38,2,185,0,172,"Fabius village, New York",36,24867,2022,acs/acs5,2025-10-13T11:21:10.428197
1151,591,560,,1102,10,0,2,857,485,372,146900,,59018,33079,106,615,615,600,15,143,68,0,592,0,556,"Fair Haven village, New York",36,24988,2022,acs/acs5,2025-10-13T11:21:10.428206
9978,4866,5112,,9087,193,162,336,4481,4045,436,160100,1125,82303,39852,593,5544,5533,5393,140,1581,858,81,5265,54,4836,"Fairmount CDP, New York",36,25043,2022,acs/acs5,2025-10-13T11:21:10.428216
5442,2492,2950,,5053,47,10,172,2813,2735,78,256200,1164,95354,56066,777,2795,2795,2668,127,1060,932,140,2588,0,2052,"Fairport village, New York",36,25076,2022,acs/acs5,2025-10-13T11:21:10.428226
2193,1059,1134,,2149,1,1,10,1157,1000,157,84600,643,50625,27367,278,1088,1088,1009,79,156,68,0,978,13,933,"Falconer village, New York",36,25164,2022,acs/acs5,2025-10-13T11:21:10.428254
1996,1631,365,,959,586,3,428,956,97,859,,1585,32679,4025,534,262,262,248,14,86,22,0,248,0,171,"Fallsburg CDP, New York",36,25230,2022,acs/acs5,2025-10-13T11:21:10.428264
8428,4162,4266,,6154,317,784,1185,3656,3526,130,507100,2208,127059,67324,381,5102,5088,4861,227,1986,978,164,4714,568,4382,"Farmingdale village, New York",36,25384,2022,acs/acs5,2025-10-13T11:21:10.428274
16889,9192,7697,,12486,1143,1103,2720,5182,4889,293,424300,2468,128302,45453,791,9731,9731,9340,391,1964,1172,138,9250,385,8746,"Farmingville CDP, New York",36,25417,2022,acs/acs5,2025-10-13T11:21:10.428283
424,234,190,,373,4,0,5,170,162,8,124800,921,68750,31156,91,209,209,190,19,33,20,0,188,0,181,"Farnham village, New York",36,25428,2022,acs/acs5,2025-10-13T11:21:10.428295
4248,1860,2388,,3848,34,114,97,2000,1885,115,223800,1126,120244,55156,213,2358,2358,2297,61,982,503,66,2284,24,1942,"Fayetteville village, New York",36,25527,2022,acs/acs5,2025-10-13T11:21:10.428305
430,184,246,,400,0,30,0,180,180,0,86300,1361,45357,24188,39,195,99,99,0,8,28,0,195,0,193,"Felts Mills CDP, New York",36,25571,2022,acs/acs5,2025-10-13T11:21:10.428315
652,274,378,,648,0,0,0,251,223,28,92900,827,70677,26037,13,309,309,286,23,86,56,0,275,0,251,"Fillmore CDP, New York",36,25747,2022,acs/acs5,2025-10-13T11:21:10.428325
298,149,149,,205,62,0,74,2977,92,2885,467300,1583,108750,50928,4,175,163,163,0,35,27,0,160,27,150,"Fire Island CDP, New York",36,25839,2022,acs/acs5,2025-10-13T11:21:10.428334
5264,2492,2772,,4192,218,240,682,2272,2075,197,337200,1684,96315,45289,245,2836,2808,2706,102,934,684,98,2706,34,2518,"Firthcliffe CDP, New York",36,25857,2022,acs/acs5,2025-10-13T11:21:10.428344
53,33,20,,33,0,0,9,253,19,234,,,47708,21489,0,39,39,39,0,4,0,0,39,0,30,"Fishers Island CDP, New York",36,25923,2022,acs/acs5,2025-10-13T11:21:10.428354
54,24,30,,54,0,0,0,305,28,277,86400,,74038,42870,0,4,4,4,0,9,0,0,4,0,0,"Fishers Landing CDP, New York",36,25934,2022,acs/acs5,2025-10-13T11:21:10.428422
2177,1051,1126,,1731,152,47,237,1203,1148,55,248500,2159,94205,53415,117,1269,1269,1184,85,438,268,65,1146,15,1063,"Fishkill village, New York",36,25967,2022,acs/acs5,2025-10-13T11:21:10.428432
6411,3524,2887,,3492,187,0,3510,2248,2056,192,376300,1970,79100,29613,1346,3163,3163,3080,83,450,89,58,3052,92,3032,"Flanders CDP, New York",36,26121,2022,acs/acs5,2025-10-13T11:21:10.428443
260,139,121,,215,0,0,81,335,109,226,248600,940,60417,36398,5,156,156,150,6,27,45,9,150,5,134,"Fleischmanns village, New York",36,26209,2022,acs/acs5,2025-10-13T11:21:10.428467
15892,8202,7690,,11770,341,2160,2493,5675,5498,177,700500,2173,153659,68568,569,8861,8861,8524,337,3881,2031,418,8309,1181,7389,"Floral Park village, New York",36,26264,2022,acs/acs5,2025-10-13T11:21:10.429091
2937,1532,1405,,2075,252,55,650,1045,943,102,333000,1971,112188,39683,273,1615,1588,1538,50,422,170,7,1559,61,1498,"Florida village, New York",36,26319,2022,acs/acs5,2025-10-13T11:21:10.429102
4787,2592,2195,,3705,111,605,488,1637,1604,33,1929400,2048,250001,127955,190,2515,2515,2435,80,975,773,111,2423,559,2114,"Flower Hill village, New York",36,26352,2022,acs/acs5,2025-10-13T11:21:10.429113
217,62,155,,217,0,0,13,196,129,67,160500,848,53472,47551,18,116,116,116,0,43,19,0,116,0,116,"Fly Creek CDP, New York",36,26418,2022,acs/acs5,2025-10-13T11:21:10.429126
495,235,260,,470,1,0,14,317,231,86,82100,853,45208,32683,61,282,282,276,6,8,19,0,276,3,267,"Fonda village, New York",36,26462,2022,acs/acs5,2025-10-13T11:21:10.429137
1107,438,669,,268,191,519,97,385,378,7,500000,1328,54286,42558,96,550,550,516,34,253,220,183,516,110,416,"Forest Home CDP, New York",36,26561,2022,acs/acs5,2025-10-13T11:21:10.429146
532,165,367,,532,0,0,0,270,202,68,94900,933,,22143,66,213,213,213,0,13,12,0,213,0,213,"Forestville CDP, New York",36,26649,2022,acs/acs5,2025-10-13T11:21:10.429157
511,280,231,,461,14,0,6,210,189,21,154400,1050,92321,33360,7,302,302,302,0,74,16,0,301,0,285,"Fort Ann village, New York",36,26704,2022,acs/acs5,2025-10-13T11:21:10.429167
1202,602,600,,1027,0,2,0,556,455,101,117000,841,57438,25619,147,562,562,560,2,57,71,0,557,12,507,"Fort Covington CDP, New York",36,26726,2022,acs/acs5,2025-10-13T11:21:10.429176
16298,9664,6634,,11312,2008,429,3611,4837,4586,251,,1471,56559,21970,1184,8633,2668,2410,258,1604,230,49,8291,0,7174,"Fort Drum CDP, New York",36,26759,2022,acs/acs5,2025-10-13T11:21:10.429186
3189,1510,1679,,3125,18,26,0,1465,1331,134,148100,1000,57795,30062,459,1795,1784,1749,35,207,128,0,1690,0,1578,"Fort Edward village, New York",36,26770,2022,acs/acs5,2025-10-13T11:21:10.429196
510,267,243,,510,0,0,97,220,196,24,118800,1125,61071,35309,33,267,264,236,28,41,49,2,238,0,204,"Fort Johnson village, New York",36,26880,2022,acs/acs5,2025-10-13T11:21:10.429206
2453,1415,1038,,1445,183,194,582,941,910,31,306300,1786,86293,48025,98,1478,1478,1422,56,350,154,19,1410,0,1208,"Fort Montgomery CDP, New York",36,26902,2022,acs/acs5,2025-10-13T11:21:10.429216
2015,950,1065,,1919,53,0,96,1064,768,296,75700,873,39016,23724,497,999,999,931,68,101,128,27,921,0,893,"Fort Plain village, New York",36,26924,2022,acs/acs5,2025-10-13T11:21:10.429225
9836,5007,4829,,8992,48,174,702,3442,3359,83,766700,3234,179568,76977,212,5195,5195,4905,290,2210,1408,113,4789,225,4215,"Fort Salonga CDP, New York",36,26946,2022,acs/acs5,2025-10-13T11:21:10.429235
267,120,147,,267,0,0,3,84,84,0,259200,,78000,21215,27,67,67,60,7,19,0,0,60,0,54,"Fowlerville CDP, New York",36,27133,2022,acs/acs5,2025-10-13T11:21:10.429245
2367,1185,1182,,2203,25,0,34,1175,994,181,110700,775,49236,31779,245,1164,1164,1157,7,117,56,4,1121,0,1004,"Frankfort village, New York",36,27188,2022,acs/acs5,2025-10-13T11:21:10.429254
385,229,156,,364,0,3,3,213,175,38,177600,829,76648,47719,60,230,230,203,27,51,58,9,193,5,142,"Franklin village, New York",36,27221,2022,acs/acs5,2025-10-13T11:21:10.429264
31969,15467,16502,,20487,1333,4793,5830,10012,9809,203,621500,2068,136225,48801,1592,17877,17869,17177,692,4944,2660,236,16274,1715,15019,"Franklin Square CDP, New York",36,27309,2022,acs/acs5,2025-10-13T11:21:10.429274
2035,959,1076,,1757,16,0,213,838,709,129,88500,719,68438,26813,274,985,985,923,62,125,72,9,910,11,762,"Franklinville village, New York",36,27331,2022,acs/acs5,2025-10-13T11:21:10.429283
9710,4964,4746,,8024,545,242,863,4015,3697,318,161200,934,48855,29753,1909,4392,4392,4250,142,1057,932,348,4127,27,3991,"Fredonia village, New York",36,27419,2022,acs/acs5,2025-10-13T11:21:10.429293
641,258,383,,449,173,1,54,261,261,0,268700,,,27825,41,453,453,453,0,21,15,0,453,0,446,"Freedom Plains CDP, New York",36,27452,2022,acs/acs5,2025-10-13T11:21:10.429303
44210,21816,22394,,14149,13937,893,19240,14921,14169,752,444300,1902,109390,43202,3028,24723,24714,23237,1477,5212,2317,332,22481,2350,20816,"Freeport village, New York",36,27485,2022,acs/acs5,2025-10-13T11:21:10.429313
468,213,255,,415,0,6,30,223,207,16,183300,829,78750,50577,12,226,226,224,2,102,78,25,224,5,200,"Freeville village, New York",36,27529,2022,acs/acs5,2025-10-13T11:21:10.429322
1891,958,933,,1847,0,0,44,642,642,0,122200,889,57138,25411,172,801,801,801,0,68,179,0,801,0,801,"Frewsburg CDP, New York",36,27672,2022,acs/acs5,2025-10-13T11:21:10.429332
833,423,410,,787,33,0,0,400,329,71,56200,852,42171,23562,185,367,367,342,25,42,8,3,327,0,327,"Friendship CDP, New York",36,27694,2022,acs/acs5,2025-10-13T11:21:10.429342
11381,5723,5658,,10578,116,49,432,5318,4792,526,91000,832,51243,26639,2691,5264,5245,4771,474,687,363,0,4765,32,4532,"Fulton city, New York",36,27815,2022,acs/acs5,2025-10-13T11:21:10.429351
670,274,396,,630,3,6,22,301,271,30,130200,958,83224,34240,76,320,320,310,10,42,44,0,302,0,275,"Fultonville village, New York",36,27859,2022,acs/acs5,2025-10-13T11:21:10.429361
216,110,106,,211,0,0,2,112,95,17,107100,642,79028,37742,9,121,121,115,6,14,7,1,113,1,104,"Gainesville village, New York",36,27969,2022,acs/acs5,2025-10-13T11:21:10.429371
4591,2080,2511,,4036,103,165,59,2021,1995,26,116200,955,71415,33030,245,2155,2155,1940,215,647,155,0,1888,0,1824,"Galeville CDP, New York",36,28035,2022,acs/acs5,2025-10-13T11:21:10.429381
174,67,107,,174,0,0,0,79,74,5,195800,1260,56667,24826,29,75,75,73,2,30,5,0,73,0,63,"Galway village, New York",36,28101,2022,acs/acs5,2025-10-13T11:21:10.429390
6869,3196,3673,,5931,121,167,364,2564,2564,0,201700,905,108722,44184,427,3770,3714,3615,99,1195,645,51,3572,7,3006,"Gananda CDP, New York",36,28138,2022,acs/acs5,2025-10-13T11:21:10.429400
4562,2299,2263,,3321,128,857,111,1898,1819,79,254500,1242,102015,47589,333,2360,2360,2299,61,502,540,358,2190,35,2037,"Gang Mills CDP, New York",36,28145,2022,acs/acs5,2025-10-13T11:21:10.429410
22871,10652,12219,,20042,163,1312,1393,7956,7579,377,980600,3369,204883,94051,513,11037,11037,10656,381,5239,3074,659,10525,1559,8396,"Garden City village, New York",36,28178,2022,acs/acs5,2025-10-13T11:21:10.429419
7775,4058,3717,,2849,114,3781,890,2529,2481,48,740800,2616,115156,47917,111,3950,3924,3691,233,1700,730,88,3683,659,3297,"Garden City Park CDP, New York",36,28189,2022,acs/acs5,2025-10-13T11:21:10.429429
4113,1964,2149,,3330,20,347,465,1365,1318,47,652400,3146,146650,54165,245,2186,2186,2120,66,575,487,75,2112,127,1930,"Garden City South CDP, New York",36,28200,2022,acs/acs5,2025-10-13T11:21:10.429438
637,307,330,,275,0,0,49,217,196,21,350000,1452,104894,42965,20,317,317,317,0,29,39,0,210,0,202,"Gardiner CDP, New York",36,28244,2022,acs/acs5,2025-10-13T11:21:10.429448
3943,1980,1963,,2468,597,51,1276,1531,1391,140,263800,2469,95729,40706,285,2077,2077,1982,95,491,190,84,1969,18,1866,"Gardnertown CDP, New York",36,28310,2022,acs/acs5,2025-10-13T11:21:10.429459
150,74,76,,150,0,0,0,64,64,0,115100,,50000,25063,22,54,54,54,0,18,0,3,54,0,54,"Garrattsville CDP, New York",36,28376,2022,acs/acs5,2025-10-13T11:21:10.429469
1400,546,854,,1256,130,0,18,637,567,70,141900,,75708,38222,22,810,810,752,58,268,78,0,723,0,690,"Gasport CDP, New York",36,28431,2022,acs/acs5,2025-10-13T11:21:10.429479
4716,2150,2566,,3987,37,145,436,2039,2010,29,147200,1422,53362,31966,521,2481,2481,2353,128,565,263,0,2316,15,2047,"Gates CDP, New York",36,28453,2022,acs/acs5,2025-10-13T11:21:10.429488
7713,3153,4560,,6827,279,176,476,2148,1883,265,197200,984,37701,18096,1816,3196,3196,2969,227,497,437,160,2878,102,2605,"Geneseo village, New York",36,28618,2022,acs/acs5,2025-10-13T11:21:10.429498
12670,6272,6398,,9753,946,366,2092,5280,4759,521,123100,939,63602,30090,1938,6420,6420,6224,196,1446,590,367,6117,12,5705,"Geneva city, New York",36,28640,2022,acs/acs5,2025-10-13T11:21:10.429508
1068,520,548,,944,40,7,64,646,565,81,330000,785,89120,55950,84,500,500,453,47,159,250,10,450,27,363,"Germantown CDP, New York",36,28761,2022,acs/acs5,2025-10-13T11:21:10.429517
477,262,215,,276,17,1,104,284,194,90,254500,,128984,49132,25,263,263,263,0,170,0,0,248,1,185,"Ghent CDP, New York",36,28860,2022,acs/acs5,2025-10-13T11:21:10.429527
337,145,192,,318,0,5,4,192,143,49,142900,1039,90313,47858,14,182,182,169,13,49,32,4,160,1,154,"Gilbertsville village, New York",36,28959,2022,acs/acs5,2025-10-13T11:21:10.429537
209,115,94,,209,0,0,0,184,80,104,821400,,250001,106694,43,96,96,96,0,10,110,0,96,0,96,"Gilgo CDP, New York",36,28990,2022,acs/acs5,2025-10-13T11:21:10.429547
2134,977,1157,,1664,0,0,241,1085,1008,77,293500,1393,56875,40900,392,1080,1080,1077,3,221,186,0,1069,0,1016,"Glasco CDP, New York",36,29014,2022,acs/acs5,2025-10-13T11:21:10.429556
219,128,91,,219,0,0,0,166,105,61,119100,869,86932,39973,0,135,135,129,6,15,14,0,125,0,125,"Glen Aubrey CDP, New York",36,29058,2022,acs/acs5,2025-10-13T11:21:10.429566
28132,13418,14714,,18877,1627,1579,8173,11034,10691,343,625500,2301,91372,47676,4205,14463,14463,13944,519,4922,2276,373,13537,1454,12358,"Glen Cove city, New York",36,29113,2022,acs/acs5,2025-10-13T11:21:10.429576
4801,2199,2602,,4100,60,98,773,1802,1642,160,773700,1608,135283,74694,155,2369,2369,2316,53,1166,621,44,2309,123,1835,"Glen Head CDP, New York",36,29245,2022,acs/acs5,2025-10-13T11:21:10.429586
661,349,312,,571,3,31,22,242,216,26,168800,1069,35000,21951,269,321,321,307,14,59,8,0,303,0,302,"Glen Park village, New York",36,29322,2022,acs/acs5,2025-10-13T11:21:10.429596
14743,7499,7244,,13411,475,52,634,7210,6669,541,180500,1022,64731,36031,1678,8043,8005,7548,457,1677,1219,76,7447,96,7034,"Glens Falls city, New York",36,29333,2022,acs/acs5,2025-10-13T11:21:10.429605
8996,4299,4697,,8627,53,51,138,4529,4324,205,257100,1234,78889,53988,663,4648,4548,4322,226,1628,851,50,4389,0,4022,"Glens Falls North CDP, New York",36,29338,2022,acs/acs5,2025-10-13T11:21:10.429615
3694,1666,2028,,3404,1,242,246,1529,1471,58,846700,1837,121612,62518,118,1620,1620,1568,52,833,489,53,1507,67,1223,"Glenwood Landing CDP, New York",36,29421,2022,acs/acs5,2025-10-13T11:21:10.429630
15113,7506,7607,,12952,256,164,791,7374,6226,1148,89000,848,47205,25627,3103,6877,6843,6347,496,989,401,47,6275,23,6104,"Gloversville city, New York",36,29443,2022,acs/acs5,2025-10-13T11:21:10.429639
1556,755,801,,1279,2,190,50,594,562,32,652000,2650,218833,118726,28,958,958,946,12,318,304,77,946,109,607,"Golden's Bridge CDP, New York",36,29476,2022,acs/acs5,2025-10-13T11:21:10.429649
4466,2093,2373,,887,2505,34,901,1280,1220,60,348400,2136,110313,36962,387,2362,2352,2253,99,293,109,19,2155,327,2123,"Gordon Heights CDP, New York",36,29509,2022,acs/acs5,2025-10-13T11:21:10.429659
474,258,216,,457,0,0,1,218,218,0,202600,,86250,39312,16,304,304,304,0,72,0,0,304,0,286,"Gorham CDP, New York",36,29520,2022,acs/acs5,2025-10-13T11:21:10.429668
5736,2826,2910,,4548,149,18,1342,2544,2319,225,365900,1471,93679,54664,98,2955,2955,2922,33,996,457,84,2866,217,2588,"Goshen village, New York",36,29542,2022,acs/acs5,2025-10-13T11:21:10.429678
3646,1816,1830,,3307,34,0,180,2017,1727,290,101000,827,42335,24319,929,1477,1477,1328,149,270,207,0,1290,0,1274,"Gouverneur village, New York",36,29597,2022,acs/acs5,2025-10-13T11:21:10.429687
3211,1679,1532,,2917,25,0,283,1274,1127,147,85000,715,50304,23845,295,1282,1282,1216,66,129,119,27,1190,5,1163,"Gowanda village, New York",36,29630,2022,acs/acs5,2025-10-13T11:21:10.429698
427,206,221,,339,43,0,100,219,155,64,239100,870,,36032,89,224,224,224,0,28,15,0,224,0,213,"Grahamsville CDP, New York",36,29707,2022,acs/acs5,2025-10-13T11:21:10.429708
212,87,125,,185,0,17,16,115,103,12,1152200,3281,144519,105455,19,91,91,87,4,51,37,12,80,5,68,"Grand View-on-Hudson village, New York",36,29872,2022,acs/acs5,2025-10-13T11:21:10.429718
5053,2487,2566,,4864,23,19,128,2212,2160,52,174600,1261,89671,40605,334,2602,2602,2475,127,725,422,42,2456,0,1934,"Grandyle Village CDP, New York",36,29894,2022,acs/acs5,2025-10-13T11:21:10.429728
2370,1114,1256,,2335,0,7,0,1225,1100,125,129400,728,46337,25754,598,1007,1007,967,40,154,124,0,941,0,936,"Granville village, New York",36,30026,2022,acs/acs5,2025-10-13T11:21:10.429737
1208,569,639,,1175,0,17,0,347,347,0,129700,1422,,19332,315,617,591,420,171,102,7,0,446,0,446,"Great Bend CDP, New York",36,30136,2022,acs/acs5,2025-10-13T11:21:10.429747
11060,5738,5322,,8464,111,1266,1320,3696,3300,396,953800,2121,128457,56199,986,4207,4207,4010,197,1967,1106,193,3852,1070,3431,"Great Neck village, New York",36,30169,2022,acs/acs5,2025-10-13T11:21:10.429756
2936,1472,1464,,2176,0,518,64,1033,913,120,1613500,3200,175515,100782,60,1356,1356,1337,19,614,440,101,1312,277,1010,"Great Neck Estates village, New York",36,30191,2022,acs/acs5,2025-10-13T11:21:10.429766
1139,440,699,,679,0,413,11,422,386,36,1136600,,,77915,208,623,623,623,0,277,281,17,623,78,581,"Great Neck Gardens CDP, New York",36,30202,2022,acs/acs5,2025-10-13T11:21:10.429775
7443,3265,4178,,5131,101,1303,967,4194,3878,316,391400,2263,97022,72754,482,3869,3869,3600,269,2055,1129,210,3508,1008,2653,"Great Neck Plaza village, New York",36,30213,2022,acs/acs5,2025-10-13T11:21:10.429789
1992,1011,981,,1821,0,38,181,921,823,98,801800,2858,140469,77558,69,1233,1233,1193,40,365,452,18,1116,86,1017,"Great River CDP, New York",36,30235,2022,acs/acs5,2025-10-13T11:21:10.429799
14406,6770,7636,,11547,1091,296,1740,6785,6515,270,147600,946,66708,37717,1404,7630,7630,7250,380,1653,1278,56,7136,60,6540,"Greece CDP, New York",36,30279,2022,acs/acs5,2025-10-13T11:21:10.429808
1574,713,861,,1519,0,23,36,827,748,79,137900,665,54167,31599,229,765,758,704,54,114,87,3,689,0,616,"Greene village, New York",36,30411,2022,acs/acs5,2025-10-13T11:21:10.429818
2968,1422,1546,,2260,161,27,404,1532,1344,188,151400,990,64018,34742,770,1496,1496,1302,194,135,186,6,1287,78,1136,"Green Island village, New York",36,30521,2022,acs/acs5,2025-10-13T11:21:10.429827
15169,7168,8001,,9836,1762,531,3500,4700,4612,88,574900,1372,145904,53826,796,8012,8001,7667,334,2360,1550,224,7570,727,6754,"Greenlawn CDP, New York",36,30543,2022,acs/acs5,2025-10-13T11:21:10.429837
2569,1169,1400,,1953,82,26,653,1483,1126,357,772300,1984,78919,58316,285,1494,1494,1412,82,497,182,35,1365,65,1226,"Greenport village, New York",36,30576,2022,acs/acs5,2025-10-13T11:21:10.429847
2230,1079,1151,,1945,82,11,40,1700,1077,623,696200,1636,73750,73007,137,989,989,920,69,479,243,35,920,34,811,"Greenport West CDP, New York",36,30581,2022,acs/acs5,2025-10-13T11:21:10.429858
1164,680,484,,783,0,360,0,389,389,0,626300,,,49620,122,506,506,450,56,367,199,14,423,18,414,"Greenvale CDP, New York",36,30598,2022,acs/acs5,2025-10-13T11:21:10.429867
1819,926,893,,1699,31,10,39,892,744,148,189300,1139,76827,36675,84,1051,1051,1027,24,245,150,19,965,0,862,"Greenwich village, New York",36,30675,2022,acs/acs5,2025-10-13T11:21:10.429896
3027,1532,1495,,2421,76,163,377,1419,1114,305,294500,1330,79261,36794,321,1396,1396,1330,66,466,133,0,1330,56,1033,"Greenwood Lake village, New York",36,30752,2022,acs/acs5,2025-10-13T11:21:10.429905
166,86,80,,166,0,0,0,97,97,0,99200,,,30613,19,66,66,66,0,26,0,0,66,0,66,"Greigsville CDP, New York",36,30807,2022,acs/acs5,2025-10-13T11:21:10.429915
2036,984,1052,,1852,48,11,32,1065,937,128,145000,784,59861,33029,186,1053,1053,1026,27,172,102,10,995,11,918,"Groton village, New York",36,30961,2022,acs/acs5,2025-10-13T11:21:10.429924
413,203,210,,358,0,0,9,149,130,19,114400,,85583,28414,15,219,219,207,12,28,27,20,207,6,200,"Groveland Station CDP, New York",36,31022,2022,acs/acs5,2025-10-13T11:21:10.429934
159,68,91,,155,0,0,4,191,69,122,113500,,75139,31434,0,93,93,79,14,7,0,9,79,0,72,"Guilford CDP, New York",36,31137,2022,acs/acs5,2025-10-13T11:21:10.429944
1072,537,535,,988,0,0,16,493,429,64,192300,857,57880,32921,71,536,536,504,32,64,44,0,487,0,448,"Hadley CDP, New York",36,31258,2022,acs/acs5,2025-10-13T11:21:10.429955
1156,545,611,,1066,0,8,122,645,560,85,174500,870,61250,36778,76,585,585,569,16,129,90,0,538,0,499,"Hagaman village, New York",36,31291,2022,acs/acs5,2025-10-13T11:21:10.429965
627,289,338,,526,1,0,88,319,302,17,109400,793,58125,31504,145,287,287,268,19,65,36,4,268,0,268,"Hailesboro CDP, New York",36,31346,2022,acs/acs5,2025-10-13T11:21:10.429976
282,145,137,,282,0,0,0,166,128,38,,,131833,63550,0,30,30,30,0,129,0,0,30,0,20,"Haines Falls CDP, New York",36,31357,2022,acs/acs5,2025-10-13T11:21:10.429985
2416,1087,1329,,2207,0,12,197,997,997,0,775600,1406,177917,104825,25,1317,1317,1212,105,816,374,36,1212,156,947,"Halesite CDP, New York",36,31445,2022,acs/acs5,2025-10-13T11:21:10.429995
302,91,211,,297,0,0,0,163,141,22,142100,,47396,30992,29,210,210,199,11,12,5,0,193,0,193,"Hall CDP, New York",36,31533,2022,acs/acs5,2025-10-13T11:21:10.430005
9749,4880,4869,,9464,32,83,173,4466,4399,67,221400,956,93942,49147,516,5886,5886,5740,146,1963,1027,80,5423,86,4950,"Hamburg village, New York",36,31643,2022,acs/acs5,2025-10-13T11:21:10.430042
3882,1802,2080,,3248,193,196,303,1065,789,276,244800,968,59152,23503,145,1525,1525,1516,9,133,187,248,1299,19,1048,"Hamilton village, New York",36,31709,2022,acs/acs5,2025-10-13T11:21:10.430051
1906,997,909,,1434,65,176,106,4,4,0,,,,3576,1,675,675,653,22,0,6,0,636,0,517,"Hamilton College CDP, New York",36,31746,2022,acs/acs5,2025-10-13T11:21:10.430061
4817,2515,2302,,4577,54,0,48,2062,1984,78,132700,852,60968,32687,561,2300,2300,2196,104,520,230,9,2156,0,1960,"Hamlin CDP, New York",36,31786,2022,acs/acs5,2025-10-13T11:21:10.430070
269,134,135,,250,6,0,7,137,111,26,87800,900,50859,31015,70,94,94,92,2,37,27,1,92,0,82,"Hammond village, New York",36,31830,2022,acs/acs5,2025-10-13T11:21:10.430084
569,266,303,,544,8,1,18,373,293,80,178400,702,64375,41433,31,281,281,274,7,75,66,8,264,0,219,"Hammondsport village, New York",36,31852,2022,acs/acs5,2025-10-13T11:21:10.430094
16939,9044,7895,,13113,167,397,5286,8980,6326,2654,649900,2258,116526,58765,1186,8862,8854,8554,300,2596,1621,127,8189,308,7568,"Hampton Bays CDP, New York",36,31896,2022,acs/acs5,2025-10-13T11:21:10.430104
5344,2634,2710,,4574,268,237,210,2462,2152,310,201900,1129,104211,45474,285,3323,3323,3217,106,821,470,23,3193,51,2897,"Hampton Manor CDP, New York",36,31918,2022,acs/acs5,2025-10-13T11:21:10.430114
878,420,458,,841,20,3,36,571,394,177,127200,1033,45500,22822,184,343,343,302,41,69,24,3,302,3,277,"Hancock village, New York",36,31940,2022,acs/acs5,2025-10-13T11:21:10.430126
133,37,96,,92,18,0,40,98,62,36,331800,1047,38750,20282,75,64,64,64,0,5,25,0,64,0,38,"Hankins CDP, New York",36,31973,2022,acs/acs5,2025-10-13T11:21:10.430137
892,493,399,,807,0,4,44,546,419,127,151800,1185,92818,42496,81,418,418,406,12,105,117,40,406,0,389,"Hannawa Falls CDP, New York",36,32006,2022,acs/acs5,2025-10-13T11:21:10.430146
708,324,384,,685,0,0,8,264,241,23,107700,825,71250,29198,56,371,371,345,26,43,2,0,332,0,310,"Hannibal village, New York",36,32017,2022,acs/acs5,2025-10-13T11:21:10.430156
462,195,267,,436,0,0,0,193,159,34,1569400,,183073,103414,9,234,234,234,0,106,56,51,234,24,221,"Harbor Hills CDP, New York",36,32094,2022,acs/acs5,2025-10-13T11:21:10.430166
1360,747,613,,1350,0,0,81,405,405,0,598000,,170694,58076,41,736,736,711,25,194,163,17,686,156,608,"Harbor Isle CDP, New York",36,32105,2022,acs/acs5,2025-10-13T11:21:10.430178
2955,1340,1615,,1548,529,288,769,1253,1149,104,242900,1946,74861,39486,217,1580,1580,1496,84,331,216,38,1459,171,1349,"Harriman village, New York",36,32325,2022,acs/acs5,2025-10-13T11:21:10.430188
